Agurk ,25
Tomat ,30
Iceberg ,30
Ærter ,40
Gulerødder ,25
Peber alm ,25
Peber snack ,25
Blomkål ,15
Brocooli ,15
Radiser ,15
Kinaradiser ,15
Squach ,25
Champignon ,15
Blad selleri ,15
Fennikel ,15
Grønne bønner ,30
Hakket løg ,10
baby spinat ,5
Ruccola ,5
Hvidkål ,30
Kinakål ,30
Rødkål ,30
Rødbede ,25
Raddccio ,20
Julesalat ,20
Baby mix ,5
